CLV,Policy Type,State,Coverage,Number of Policies
1898.0077,4,0,0,1
1898.6837,8,3,0,1
1904.0009,6,0,0,1
1918.1198,6,0,0,1
1940.9812,8,2,0,1
1994.7749,6,3,0,1
2004.3507,8,0,0,1
2004.3507,5,2,0,1
2004.3507,8,2,0,1
2004.3507,0,0,0,1
2004.3507,0,1,0,1
2004.3507,8,2,0,1
2009.773,8,2,0,1
2030.7837,4,0,0,1
2034.993,6,2,0,1
2050.6235,8,1,0,1
2052.949,8,3,0,1
2063.388,8,2,0,1
2064.4587,8,0,0,1
2064.698,4,1,0,1
2086.6108,8,4,0,1
2089.3372,4,1,0,1
2108.4937,4,0,0,1
2111.9934,4,2,0,1
2113.857,6,4,0,1
2114.7385,4,0,0,1
2117.9893,8,0,0,1
2119.8943,4,0,0,1
2121.313,4,2,0,1
2121.647,8,1,0,1
2124.1738,8,4,0,1
2127.9236,7,2,0,1
2128.6213,6,1,0,1
2129.063,0,0,0,1
2130.3545,7,0,0,1
2132.7717,8,2,0,1
2141.7507,4,3,0,1
2141.9792,8,0,0,1
2142.8923,1,2,0,1
2144.9216,6,2,0,1
2147.657,8,3,0,1
2150.1785,8,0,0,1
2150.906,6,2,0,1
2152.0813,4,3,0,1
2154.074,8,2,0,1
2155.21,8,2,0,1
2159.2515,8,3,0,1
2160.9204,8,2,0,1
2161.6855,0,0,0,1
2162.4172,8,4,0,1
2163.87,0,3,0,1
2167.3303,8,3,0,1
2168.5234,8,0,0,1
2174.112,6,2,0,1
2175.6248,8,0,0,1
2175.74,8,1,0,1
2178.5203,6,0,0,1
2179.425,8,1,0,1
2180.084,4,3,0,1
2188.655,8,0,0,1
2189.6426,4,4,0,1
2191.1333,5,3,0,1
2194.6682,8,2,0,1
2195.2954,4,1,0,1
2195.9111,0,0,0,1
2199.5166,1,3,0,1
2199.618,4,4,0,1
2199.7395,8,4,0,1
2202.3352,8,2,0,1
2203.4397,8,2,0,1
2203.5884,8,2,0,1
2213.188,4,0,0,1
2215.9128,0,2,0,1
2215.9128,4,1,0,1
2217.6643,4,3,0,1
2219.9958,6,4,0,1
2220.1875,4,4,0,1
2221.3643,4,3,0,1
2222.865,7,4,0,1
2224.0896,7,4,0,1
2224.556,6,0,0,1
2224.768,8,4,0,1
2226.5898,8,2,0,1
2227.0728,2,4,0,1
2227.0728,0,0,0,1
2227.0728,8,0,0,1
2227.0728,8,2,0,1
2227.0728,4,1,0,1
2227.0728,8,3,0,1
2228.5251,8,0,0,1
2229.3618,8,0,0,1
2230.2751,4,0,0,1
2230.7556,4,3,0,1
2231.7866,8,3,0,1
2236.0857,1,0,0,1
2237.3477,4,2,0,1
2239.6472,4,2,0,1
2241.1086,4,0,0,1
2241.4631,1,0,0,1
2242.0908,4,2,0,1
2242.226,6,0,0,1
2242.2444,8,0,0,1
2242.5745,0,0,0,1
2243.4739,8,0,0,1
2243.4739,4,0,0,1
2248.4497,6,1,0,1
2248.4497,6,4,0,1
2248.4497,8,2,0,1
2248.4497,1,0,0,1
2248.4497,8,3,0,1
2248.4497,6,0,0,1
2249.8748,6,2,0,1
2252.4167,8,2,0,1
2254.402,8,1,0,1
2254.9316,0,3,0,1
2255.313,8,3,0,1
2258.794,8,3,0,1
